codid: 1000002
atmid,1,1,1,6,6,6,8,8,8,8,8,8,8,38,-3,-2,-1
0,5.330915E+00,4.065319E+00,1.385815E+00,2.807458E+00,2.954069E+00,8.037645E+00,5.158000E+00,8.719700E+00,9.573100E+00
-1,9.002218E+00,7.116976E+00,8.725384E+00,7.277785E+00,1.033660E+01,1.275627E+01,1.200612E+01,1.294903E+01,
-2,1.005547E+01,7.334420E+00,8.034050E+00,8.334514E+00,6.197570E+00,1.510255E+00,1.013105E+01,,
-3,3.396643E+00,5.943986E+00,4.893508E+00,5.458585E+00,4.693507E+00,8.826450E+00,,,
12,8.894520E+00,6.626406E+00,7.292504E+00,7.626593E+00,5.275767E+00,,,,
20,5.025507E+00,3.389274E+00,2.327141E+00,3.321304E+00,,,,,
14,3.863444E+00,1.578195E+00,1.580602E+00,,,,,,
8,4.401063E+00,2.700914E+00,,,,,,,
8,4.012087E+00,,,,,,,,
codid: 1000013
atmid,8,8,8,14,20,12,-3,-2,-1
0,5.329162E+00,4.059342E+00,1.384671E+00,2.801546E+00,2.949921E+00,8.016329E+00,5.147400E+00,8.695100E+00,9.555700E+00
-1,8.968699E+00,7.105327E+00,8.710994E+00,7.264619E+00,1.031698E+01,1.272790E+01,1.197971E+01,1.291960E+01,
-2,1.003302E+01,7.310468E+00,8.004970E+00,8.309858E+00,6.176209E+00,1.506205E+00,1.010448E+01,,
-3,3.405957E+00,5.930413E+00,4.884389E+00,5.446609E+00,4.685072E+00,8.803942E+00,,,
12,8.876679E+00,6.605077E+00,7.266875E+00,7.605068E+00,5.257927E+00,,,,
20,5.025693E+00,3.381302E+00,2.318765E+00,3.314371E+00,,,,,
14,3.856356E+00,1.577821E+00,1.578346E+00,,,,,,
8,4.401104E+00,2.695897E+00,,,,,,,
8,4.000829E+00,,,,,,,,
codid: 1000014
